Node Name,Op Type,Activation,Weights,Bias
p2o.Conv.0,Conv,UINT8,INT8,INT8
p2o.Conv.63,Conv,UINT8,INT8,INT8
p2o.Conv.66,Conv,UINT8,INT8,INT8
p2o.MaxPool.0,MaxPool,UINT8,,
p2o.Conv.64,Conv,UINT8,INT8,INT8
p2o.Conv.1,Conv,UINT8,INT8,INT8
p2o.Conv.4,Conv,UINT8,INT8,INT8
p2o.Add.38,Add,UINT8,,
p2o.Conv.2,Conv,UINT8,INT8,INT8
p2o.Conv.67,Conv,UINT8,INT8,INT8
p2o.Conv.3,Conv,UINT8,INT8,INT8
p2o.Conv.68,Conv,UINT8,INT8,INT8
p2o.Add.0,Add,UINT8,,
p2o.Conv.5,Conv,UINT8,INT8,INT8
p2o.Conv.6,Conv,UINT8,INT8,INT8
p2o.Conv.7,Conv,UINT8,INT8,INT8
p2o.Add.2,Add,UINT8,,
p2o.Conv.8,Conv,UINT8,INT8,INT8
p2o.Conv.9,Conv,UINT8,INT8,INT8
p2o.Conv.10,Conv,UINT8,INT8,INT8
p2o.Add.4,Add,UINT8,,
p2o.Conv.11,Conv,UINT8,INT8,INT8
p2o.Conv.14,Conv,UINT8,INT8,INT8
p2o.Conv.65,Conv,UINT8,INT8,INT8
p2o.Conv.75,Conv,UINT8,INT8,INT8
p2o.Add.40,Add,UINT8,,
p2o.Conv.12,Conv,UINT8,INT8,INT8
p2o.Conv.69,Conv,UINT8,INT8,INT8
p2o.Conv.13,Conv,UINT8,INT8,INT8
p2o.Add.6,Add,UINT8,,
p2o.Conv.70,Conv,UINT8,INT8,INT8
p2o.Conv.15,Conv,UINT8,INT8,INT8
p2o.Conv.16,Conv,UINT8,INT8,INT8
p2o.Conv.17,Conv,UINT8,INT8,INT8
p2o.Add.8,Add,UINT8,,
p2o.Conv.18,Conv,UINT8,INT8,INT8
p2o.Conv.19,Conv,UINT8,INT8,INT8
p2o.Conv.20,Conv,UINT8,INT8,INT8
p2o.Add.10,Add,UINT8,,
p2o.Conv.21,Conv,UINT8,INT8,INT8
p2o.Conv.22,Conv,UINT8,INT8,INT8
p2o.Conv.23,Conv,UINT8,INT8,INT8
p2o.Add.12,Add,UINT8,,
p2o.Conv.24,Conv,UINT8,INT8,INT8
p2o.Conv.27,Conv,UINT8,INT8,INT8
p2o.Conv.74,Conv,UINT8,INT8,INT8
p2o.Conv.25,Conv,UINT8,INT8,INT8
p2o.Conv.26,Conv,UINT8,INT8,INT8
p2o.Add.14,Add,UINT8,,
p2o.Conv.28,Conv,UINT8,INT8,INT8
p2o.Conv.29,Conv,UINT8,INT8,INT8
p2o.Conv.30,Conv,UINT8,INT8,INT8
p2o.Add.16,Add,UINT8,,
p2o.Conv.31,Conv,UINT8,INT8,INT8
p2o.Conv.32,Conv,UINT8,INT8,INT8
p2o.Conv.33,Conv,UINT8,INT8,INT8
p2o.Add.18,Add,UINT8,,
p2o.Conv.34,Conv,UINT8,INT8,INT8
p2o.Conv.35,Conv,UINT8,INT8,INT8
p2o.Conv.36,Conv,UINT8,INT8,INT8
p2o.Add.20,Add,UINT8,,
p2o.Conv.37,Conv,UINT8,INT8,INT8
p2o.Conv.38,Conv,UINT8,INT8,INT8
p2o.Conv.39,Conv,UINT8,INT8,INT8
p2o.Add.22,Add,UINT8,,
p2o.Conv.40,Conv,UINT8,INT8,INT8
p2o.Conv.41,Conv,UINT8,INT8,INT8
p2o.Conv.42,Conv,UINT8,INT8,INT8
p2o.Add.24,Add,UINT8,,
p2o.Conv.43,Conv,UINT8,INT8,INT8
p2o.Conv.46,Conv,UINT8,INT8,INT8
p2o.Conv.73,Conv,UINT8,INT8,INT8
p2o.Conv.44,Conv,UINT8,INT8,INT8
p2o.Conv.45,Conv,UINT8,INT8,INT8
p2o.Add.26,Add,UINT8,,
p2o.Conv.47,Conv,UINT8,INT8,INT8
p2o.Conv.48,Conv,UINT8,INT8,INT8
p2o.Conv.49,Conv,UINT8,INT8,INT8
p2o.Add.28,Add,UINT8,,
p2o.Conv.50,Conv,UINT8,INT8,INT8
p2o.Conv.51,Conv,UINT8,INT8,INT8
p2o.Conv.52,Conv,UINT8,INT8,INT8
p2o.Add.30,Add,UINT8,,
p2o.Conv.53,Conv,UINT8,INT8,INT8
p2o.Conv.56,Conv,UINT8,INT8,INT8
p2o.Conv.72,Conv,UINT8,INT8,INT8
p2o.Conv.54,Conv,UINT8,INT8,INT8
p2o.Conv.55,Conv,UINT8,INT8,INT8
p2o.Add.32,Add,UINT8,,
p2o.Conv.57,Conv,UINT8,INT8,INT8
p2o.Conv.58,Conv,UINT8,INT8,INT8
p2o.Conv.59,Conv,UINT8,INT8,INT8
p2o.Add.34,Add,UINT8,,
p2o.Conv.60,Conv,UINT8,INT8,INT8
p2o.Conv.61,Conv,UINT8,INT8,INT8
p2o.Conv.62,Conv,UINT8,INT8,INT8
p2o.Add.36,Add,UINT8,,
p2o.Conv.71,Conv,UINT8,INT8,INT8
p2o.ConvTranspose.0,ConvTranspose,UINT8,INT8,INT8
p2o.Add.42,Add,UINT8,,
p2o.Conv.76,Conv,UINT8,INT8,INT8
p2o.ConvTranspose.2,ConvTranspose,UINT8,INT8,INT8
p2o.Add.44,Add,UINT8,,
p2o.Conv.77,Conv,UINT8,INT8,INT8
p2o.ConvTranspose.4,ConvTranspose,UINT8,INT8,INT8
p2o.Add.46,Add,UINT8,,
p2o.Conv.78,Conv,UINT8,INT8,INT8
p2o.ConvTranspose.6,ConvTranspose,UINT8,INT8,INT8
p2o.Add.48,Add,UINT8,,
p2o.Conv.79,Conv,UINT8,INT8,INT8
p2o.Conv.80,Conv,UINT8,INT8,INT8
p2o.Add.50,Add,UINT8,,
p2o.Conv.81,Conv,UINT8,INT8,INT8
p2o.Conv.85,Conv,UINT8,INT8,INT8
p2o.Conv.89,Conv,UINT8,INT8,INT8
p2o.Conv.95,Conv,UINT8,INT8,INT8
p2o.Conv.82,Conv,UINT8,INT8,INT8
p2o.Conv.86,Conv,UINT8,INT8,INT8
p2o.Conv.90,Conv,UINT8,INT8,INT8
p2o.Conv.96,Conv,UINT8,INT8,INT8
p2o.Conv.83,Conv,UINT8,INT8,INT8
p2o.Conv.87,Conv,UINT8,INT8,INT8
p2o.Conv.91,Conv,UINT8,INT8,INT8
p2o.Conv.97,Conv,UINT8,INT8,INT8
p2o.Conv.84,Conv,UINT8,INT8,
p2o.Conv.88,Conv,UINT8,INT8,
p2o.Conv.92,Conv,UINT8,INT8,INT8
p2o.Conv.98,Conv,UINT8,INT8,
p2o.Sigmoid.0,HardSigmoid,UINT8,,
p2o.Conv.93,Conv,UINT8,INT8,INT8
p2o.Conv.94,Conv,UINT8,INT8,

Op Type,Activation,Weights,Bias
Conv,UINT8(99),INT8(99),INT8(95)
MaxPool,UINT8(1),,
Add,UINT8(26),,
ConvTranspose,UINT8(4),INT8(4),INT8(4)
HardSigmoid,UINT8(1),,
